00030576,26092018,26092018,3000,1.00,8.50
00030576,02102018,02102018,3001,1.00,8.50
00030576,04102018,04102018,3000,1.00,8.50
00030576,05102018,05102018,3000,0.50,4.25
00032224,24092018,24092018,3000,1.00,8.50
00032224,27092018,27092018,3001,1.00,8.50
00032224,04102018,04102018,3000,0.50,4.25
00032224,10102018,10102018,3000,0.50,4.25
00032964,01102018,01102018,3000,1.00,12.00
00032964,02102018,02102018,3000,1.00,12.00
00032964,15102018,15102018,3000,1.00,12.00
00038550,27092018,27092018,3000,1.00,12.00
00041461,05102018,05102018,3000,1.00,8.50
00089188,24092018,24092018,3000,1.00,12.00
00089188,11102018,11102018,3000,1.00,12.00
00102265,26092018,26092018,3000,1.00,8.50
00102265,27092018,27092018,3001,1.00,8.50
00102266,24092018,24092018,3000,1.00,8.50
00102266,08102018,08102018,3000,1.00,8.50
00102275,28092018,28092018,3000,0.50,4.25
00102275,05102018,05102018,3000,1.00,8.50
00102278,04102018,04102018,3000,1.00,8.50
00102280,01102018,01102018,3000,1.00,12.00
00102286,27092018,27092018,3000,1.00,12.00
00102286,04102018,04102018,3000,1.00,12.00
00102286,11102018,11102018,3000,1.00,12.00
00102286,18102018,18102018,3000,1.00,12.00
00102287,04102018,04102018,3000,1.00,12.00
00102287,11102018,11102018,3000,1.00,12.00
00102288,08102018,08102018,3000,1.00,8.50
00102289,02102018,02102018,3000,1.00,8.50
00102289,09102018,09102018,3000,1.00,8.50
00102289,16102018,16102018,3000,1.00,8.50
00102291,05102018,05102018,3000,1.00,8.50
00102291,19102018,19102018,3000,1.00,8.50
00102298,01102018,01102018,3000,1.00,12.00
00102298,04102018,04102018,3001,1.00,12.00
00102298,11102018,11102018,3000,1.00,12.00
00102301,05102018,05102018,3000,0.50,4.25
00102303,24092018,24092018,3000,1.00,8.50
00102303,12102018,12102018,3000,1.00,8.50
00102303,15102018,15102018,3000,1.00,8.50
00102304,28092018,28092018,3000,1.00,8.50
00102304,05102018,05102018,3000,1.00,8.50
00102304,10102018,10102018,3000,1.00,8.50
00102305,15102018,15102018,3000,1.00,8.50
00102305,16102018,16102018,3000,1.00,8.50
00102305,17102018,17102018,3000,1.00,8.50
00102305,18102018,18102018,3000,1.00,8.50
00102305,19102018,19102018,3000,1.00,8.50
00102306,24092018,24092018,3000,1.00,8.50
00102306,01102018,01102018,3000,1.00,8.50
00102306,10102018,10102018,3000,1.00,8.50
00102306,15102018,15102018,3000,1.00,8.50
00102308,24092018,24092018,5009,1.00,8.50
00102308,25092018,25092018,5009,0.50,4.25
00102308,10102018,10102018,3000,1.00,8.50
00102308,11102018,11102018,3000,1.00,8.50
00102308,12102018,12102018,3000,1.00,8.50
00102308,19102018,19102018,3000,1.00,8.50
00102312,24092018,24092018,3000,1.00,8.50
00102312,26092018,26092018,3000,1.00,8.50
00102312,08102018,08102018,3000,1.00,8.50
00102312,12102018,12102018,3000,1.00,8.50
00102312,18102018,18102018,3000,1.00,8.50
00102312,19102018,19102018,3000,1.00,8.50
00102315,27092018,27092018,3000,1.00,8.50
00102315,17102018,17102018,3000,1.00,8.50
00102315,18102018,18102018,3000,1.00,8.50
00102315,19102018,19102018,3000,1.00,8.50
00102317,08102018,08102018,3000,1.00,8.50
00102317,15102018,15102018,3000,1.00,8.50
00102327,03102018,03102018,3000,1.00,12.00
00102327,04102018,04102018,3000,1.00,12.00
00102338,01102018,01102018,3000,1.00,12.00
00102338,08102018,08102018,3000,1.00,12.00
00102338,15102018,15102018,3000,1.00,12.00
00102345,24092018,24092018,3000,1.00,12.00
00102345,08102018,08102018,3000,1.00,12.00
00102345,17102018,17102018,3000,1.00,12.00
00102347,01102018,01102018,3000,1.00,8.50
00102347,08102018,08102018,3000,1.00,8.50
00102347,09102018,09102018,3000,1.00,8.50
00102361,28092018,28092018,3000,0.50,4.25
00102375,08102018,08102018,3001,1.00,12.00
00102375,10102018,10102018,3000,1.00,12.00
00102384,08102018,08102018,3000,1.00,12.00
00102384,09102018,09102018,3000,1.00,12.00
00102384,15102018,15102018,3000,1.00,12.00
00102384,16102018,16102018,3000,1.00,12.00
00102385,08102018,08102018,3000,1.00,12.00
00102385,09102018,09102018,3000,1.00,12.00
00102414,24092018,24092018,3000,1.00,8.50
00102414,28092018,28092018,3000,1.00,8.50
00102414,05102018,05102018,3000,1.00,8.50
00102414,12102018,12102018,3000,1.00,8.50
00102414,19102018,19102018,3000,1.00,8.50
00102429,26092018,26092018,3000,1.00,8.50
00102429,04102018,04102018,3000,1.00,8.50
00102429,08102018,08102018,3000,1.00,8.50
00102433,24092018,24092018,3000,1.00,8.50
00102449,25092018,25092018,3000,1.00,8.50
00102449,26092018,26092018,3000,1.00,8.50
00102449,28092018,28092018,3000,0.50,4.25
00102450,01102018,01102018,3000,1.00,8.50
00102450,02102018,02102018,3000,1.00,8.50
00102452,02102018,02102018,3000,1.00,12.00
00102452,15102018,15102018,3000,1.00,12.00
00102452,16102018,16102018,3000,1.00,12.00
00102459,24092018,24092018,3000,1.00,12.00
00102459,25092018,25092018,3000,1.00,12.00
00102459,26092018,26092018,3000,1.00,12.00
00102459,27092018,27092018,3000,1.00,12.00
00102459,01102018,01102018,3000,1.00,12.00
00102459,02102018,02102018,3000,1.00,12.00
00102476,26092018,26092018,3000,1.00,8.50
00102476,04102018,04102018,3000,0.50,4.25
00102505,08102018,08102018,3000,1.00,12.00
00102505,09102018,09102018,3000,1.00,12.00
00102505,10102018,10102018,3000,1.00,12.00
00102505,11102018,11102018,3000,1.00,12.00
00102516,01102018,01102018,3000,1.00,12.00
00102516,02102018,02102018,3000,1.00,12.00
00102516,03102018,03102018,3000,1.00,12.00
00102516,11102018,11102018,3000,1.00,12.00
00102522,01102018,01102018,3000,1.00,12.00
00102522,02102018,02102018,3000,1.00,12.00
00102522,09102018,09102018,3000,1.00,12.00
00102533,24092018,24092018,3000,0.50,4.25
00102533,28092018,28092018,3000,1.00,8.50
00102533,08102018,08102018,3000,1.00,8.50
00102536,01102018,01102018,3000,1.00,12.00
00102536,02102018,02102018,3000,1.00,12.00
00102555,26092018,26092018,3000,1.00,8.50
00102555,27092018,27092018,3000,1.00,8.50
00102555,28092018,28092018,3001,1.00,8.50
00102555,05102018,05102018,3002,1.00,8.50
00102555,08102018,08102018,3002,1.00,8.50
00102555,09102018,09102018,3002,1.00,8.50
00102555,10102018,10102018,3002,1.00,8.50
00102555,11102018,11102018,3002,1.00,8.50
00102555,12102018,12102018,3002,1.00,8.50
00102555,15102018,15102018,3000,1.00,8.50
00102592,25092018,25092018,3001,1.00,12.00
00102592,15102018,15102018,3000,1.00,12.00
00102592,16102018,16102018,3000,1.00,12.00
00102606,25092018,25092018,3000,1.00,12.00
00102606,01102018,01102018,3000,1.00,12.00
00102606,08102018,08102018,3000,1.00,12.00
00102635,01102018,01102018,3001,1.00,12.00
00102636,24092018,24092018,3000,1.00,8.50
00102636,25092018,25092018,3000,1.00,8.50
00102636,26092018,26092018,3000,1.00,8.50
00102649,16102018,16102018,3000,1.00,12.00
00102649,17102018,17102018,3000,1.00,12.00
